episode,episode_return,episode_steps,epsilon,loss,buffer_size,delivered,dropped,energy,depletion_events
261,-318.203,78,0.223565,16.342013158296282,16347,37,30,10.502999999999808,8
262,-520.8860000000002,57,0.22085750000000004,15.49813035329183,16404,27,34,9.115999999999847,8
263,-301.65000000000003,50,0.21848250000000002,17.55370839436849,16454,30,22,9.86999999999983,8
264,-243.10399999999996,39,0.21663,16.650201320648193,16493,21,10,8.033999999999876,8
265,-18.031000000000063,39,0.21477750000000007,17.875393390655518,16532,28,2,8.020999999999873,8
266,-144.255,47,0.2125450000000001,15.864870331504129,16579,28,10,9.044999999999868,8
267,-105.05300000000004,48,0.21026500000000004,17.85315998395284,16627,25,4,8.022999999999943,8
268,-108.77800000000005,61,0.20736750000000004,17.999147474765778,16688,31,11,8.607999999999862,8
269,-476.971,121,0.20162000000000002,17.939377721150716,16809,38,42,10.700999999999759,8
270,-2.995000000000033,36,0.19991000000000003,19.4198882844713,16845,27,0,7.994999999999874,8
271,-205.81399999999988,62,0.19696499999999995,17.549590746561687,16907,34,20,9.363999999999834,8
272,-200.27200000000008,63,0.1939725,17.12518608570099,16970,30,16,10.091999999999816,8
273,-152.26399999999973,72,0.1905525,19.45966386795044,17042,37,19,9.633999999999874,8
274,-184.07200000000012,49,0.18822499999999998,19.611891508102417,17091,29,14,9.00199999999985,8
275,-273.892,48,0.18594500000000003,17.036357800165813,17139,28,19,8.79199999999985,8
276,-198.5969999999999,39,0.1840925,19.176436614990234,17178,28,14,8.586999999999868,8
277,-183.59599999999995,42,0.18209750000000002,17.88366517153653,17220,26,11,8.535999999999882,8
278,-18.051999999999964,38,0.18029250000000008,19.611396153767902,17258,26,0,8.011999999999873,8
279,-33.03000000000003,35,0.17862999999999996,16.274981922573513,17293,27,2,8.029999999999868,8
280,-189.6330000000001,56,0.17597000000000007,16.58189950670515,17349,26,11,8.742999999999855,8
281,-116.23,78,0.1722650000000001,18.92184232410632,17427,32,12,9.999999999999808,8
282,-123.36599999999996,40,0.1703650000000001,17.498763751983642,17467,25,6,8.315999999999875,8
283,-570.966,88,0.16618500000000003,17.89174578406594,17555,29,39,9.135999999999836,8
284,-550.861,68,0.16295500000000007,16.53697176540599,17623,33,42,9.86099999999983,8
285,-308.753,53,0.1604375,17.656846863882883,17676,28,21,8.522999999999854,8
286,-303.73299999999995,54,0.15787250000000008,16.695617382343,17730,30,23,8.582999999999863,8
287,-597.0549999999998,82,0.1539775000000001,16.962195487249467,17812,33,45,10.304999999999794,8
288,-219.50500000000005,39,0.15212500000000007,17.408390786912705,17851,25,12,8.354999999999869,8
289,-17.95799999999997,34,0.15051000000000003,21.03170617421468,17885,26,0,7.95799999999992,8
290,-38.433000000000106,36,0.14880000000000004,17.320223914252388,17921,26,1,8.012999999999874,8
291,-394.39199999999994,62,0.14585500000000007,16.120435841878255,17983,29,28,9.201999999999918,8
292,-954.8489999999997,79,0.14210250000000002,18.389351415634156,18062,30,66,9.388999999999823,8
293,-376.9549999999999,89,0.13787500000000008,18.79780730334195,18151,31,28,9.924999999999814,8
294,-153.2079999999999,52,0.135405,17.188426311199482,18203,27,10,8.067999999999879,8
295,-280.21299999999997,76,0.131795,18.44908242476614,18279,35,26,9.812999999999825,8
296,-228.84400000000005,62,0.12885000000000002,17.73999333381653,18341,29,17,8.613999999999866,8
297,-274.8550000000001,75,0.1252875000000001,17.434756730732165,18416,35,26,9.564999999999818,8
298,-63.06500000000003,45,0.12314999999999998,17.488670695911754,18461,27,4,7.974999999999868,8
299,-394.5,88,0.11897000000000002,17.030068440870807,18549,28,27,9.059999999999835,8
