episode,episode_return,episode_steps,epsilon,loss,buffer_size,delivered,dropped,energy,depletion_events
153,-18.00299999999998,36,0.6651566666666666,0.981842577457428,5288,27,1,8.002999999999874,8
154,-48.01800000000005,32,0.66313,0.8149016723036766,5320,24,0,8.017999999999875,8
155,26.968000000000075,37,0.6607866666666666,1.0850267708301544,5357,29,0,8.03199999999987,8
156,-48.02400000000003,32,0.65876,0.8118706345558167,5389,24,0,8.023999999999877,8
157,-104.11399999999998,34,0.6566066666666667,0.7895077392458916,5423,25,4,8.013999999999873,8
158,-48.0330000000001,35,0.65439,1.0240671237309773,5458,27,3,8.032999999999847,8
159,11.970000000000056,37,0.6520466666666667,0.7667755352126228,5495,29,1,8.029999999999868,8
160,-33.02800000000008,33,0.6499566666666667,0.8284831643104553,5528,25,0,8.02799999999987,8
161,-93.024,34,0.6478033333333333,0.8492918312549591,5562,26,5,8.023999999999868,8
162,27.04400000000001,37,0.64546,0.6822291546397738,5599,29,0,7.955999999999877,8
163,-3.0349999999999966,36,0.6431800000000001,0.941972898112403,5635,28,1,8.034999999999865,8
164,-62.956999999999965,33,0.6410899999999999,0.754296514723036,5668,25,2,7.956999999999866,8
165,-78.00600000000009,32,0.6390633333333333,0.7771146297454834,5700,24,2,8.005999999999872,8
166,-62.98000000000003,33,0.6369733333333334,0.8191625215113163,5733,25,2,7.979999999999904,8
167,-63.00799999999995,34,0.6348199999999999,0.5735124349594116,5767,26,3,8.007999999999875,8
168,11.965000000000117,36,0.6325400000000001,0.6741227391693327,5803,28,0,8.034999999999908,8
169,-63.01600000000002,32,0.6305133333333333,0.8372828662395477,5835,24,1,8.015999999999872,8
170,-2.9880000000000564,35,0.6282966666666667,0.7543729013866849,5870,27,0,7.987999999999887,8
171,-92.99399999999997,30,0.6263966666666667,0.7272274382412434,5900,22,1,7.993999999999863,8
172,6.785000000000025,36,0.6241166666666667,0.7653567492961884,5936,28,0,8.014999999999874,8
173,-23.340999999999923,36,0.6218366666666666,0.6558222671349844,5972,28,2,8.040999999999872,8
174,-48.001999999999924,33,0.6197466666666667,0.7544515486806631,6005,25,1,8.00199999999989,8
175,-47.940000000000026,33,0.6176566666666667,1.0352990105748177,6038,25,1,7.939999999999872,8
176,-93.02299999999991,35,0.61544,0.8304690784878201,6073,25,4,8.022999999999872,8
177,-47.97100000000003,33,0.6133500000000001,1.0391477942466736,6106,25,1,7.970999999999959,8
178,-3.005999999999986,35,0.6111333333333333,0.7812638382116953,6141,27,0,8.00599999999987,8
179,-83.12,32,0.6091066666666667,0.7977407798171043,6173,24,2,8.019999999999857,8
180,-63.034,38,0.6067,0.7237760954433017,6211,30,7,8.033999999999873,8
